event_id,event_type,scope_type,scope_id,impact_value,impact_unit,start_date,end_date,severity,status,description
E028,REG_HOLD,REGION,Latin America,4,DAYS,2024-03-01,2024-03-05,MEDIUM,PLANNED,LATAM regulatory update
E029,REG_HOLD,REGION,Africa,10,DAYS,2024-03-10,2024-03-20,CRITICAL,ACTIVE,Africa infrastructure strike
E030,COLD_CHAIN_EXCURSION,SHIPMENT,SH1,2.5,CELSIUS,2024-01-15,2024-01-15,CRITICAL,UNDER_INVESTIGATION,Temperature excursion during air transport
E031,COLD_CHAIN_EXCURSION,SHIPMENT,SH3,1.2,CELSIUS,2024-01-18,2024-01-18,MEDIUM,CLEARED,Minor temperature spike - within limits
E032,COLD_CHAIN_EXCURSION,SHIPMENT,SH5,3.8,CELSIUS,2024-01-20,2024-01-20,CRITICAL,HOLD,Significant temperature deviation - lot on hold
E033,COLD_CHAIN_EXCURSION,SHIPMENT,SH2,0.8,CELSIUS,2024-01-22,2024-01-22,LOW,CLEARED,Brief excursion during loading
E034,COLD_CHAIN_EXCURSION,SHIPMENT,SH4,4.5,CELSIUS,2024-01-25,2024-01-25,CRITICAL,REJECTED,Prolonged temperature abuse - product destroyed
E035,COLD_CHAIN_EXCURSION,SHIPMENT,SH6,1.5,CELSIUS,2024-02-01,2024-02-01,MEDIUM,CLEARED,Excursion during handover
E036,COLD_CHAIN_EXCURSION,SHIPMENT,SH7,2.0,CELSIUS,2024-02-05,2024-02-05,HIGH,UNDER_INVESTIGATION,Equipment malfunction detected
E037,COLD_CHAIN_EXCURSION,SHIPMENT,SH8,0.5,CELSIUS,2024-02-10,2024-02-10,LOW,CLEARED,Acceptable deviation
E040,LOT_RECALL,LOT,L001,100,PERCENT,2024-01-16,2024-01-16,CRITICAL,ACTIVE,Microbial contamination detected - full recall
E041,LOT_RECALL,LOT,L005,100,PERCENT,2024-01-20,2024-01-20,CRITICAL,ACTIVE,Failed stability testing - quality issue
E042,LOT_RECALL,LOT,L012,50,PERCENT,2024-01-25,2024-01-25,HIGH,ACTIVE,Partial recall - labeling error on subset
E043,LOT_RECALL,LOT,L018,100,PERCENT,2024-02-01,2024-02-01,CRITICAL,ACTIVE,Cross-contamination during packaging
E044,LOT_RECALL,LOT,L023,100,PERCENT,2024-02-05,2024-02-05,HIGH,RESOLVED,Precautionary recall - resolved
E045,LOT_RECALL,LOT,L007,25,PERCENT,2024-02-10,2024-02-10,MEDIUM,ACTIVE,Minor potency deviation - limited recall
E046,LOT_RECALL,LOT,L030,100,PERCENT,2024-02-15,2024-02-15,CRITICAL,ACTIVE,Supplier raw material defect
E047,LOT_RECALL,LOT,L015,100,PERCENT,2024-02-20,2024-02-20,HIGH,ACTIVE,Foreign particle detection
E048,LOT_RECALL,LOT,L025,75,PERCENT,2024-03-01,2024-03-01,HIGH,ACTIVE,OOS result - majority of lot affected
